id,movieinfo_id,actor_id
10266,1804,1788
10267,1804,132
10268,1804,431
10269,1804,922
10270,1804,2096
10271,1804,233
10272,1805,26
10273,1805,2097
10274,1805,118
10275,1805,77
10276,1805,156
10277,1805,445
10278,1806,289
10279,1806,520
10280,1806,522
10281,1806,72
10282,1806,351
10283,1806,2016
10284,1807,2098
10285,1807,1043
10286,1807,2099
10287,1807,420
10288,1807,2100
10289,1807,1214
10290,1808,401
10291,1808,367
10292,1808,136
10293,1808,462
10294,1808,1250
10295,1808,2101
10296,1809,222
10297,1809,109
10298,1809,150
10299,1809,420
10300,1809,356
10301,1809,732
10302,1810,26
10303,1810,308
10304,1810,259
10305,1810,265
10306,1810,606
10307,1810,4
10308,1811,210
10309,1811,38
10310,1811,122
10311,1811,229
10312,1811,1883
10313,1811,86
10314,1812,221
10315,1812,93
10316,1812,150
10317,1812,76
10318,1812,57
10319,1812,445
10320,1813,1998
10321,1813,462
10322,1813,804
10323,1813,814
10324,1813,445
10325,1813,218
10326,1814,38
10327,1814,63
10328,1814,418
10329,1814,266
10330,1814,360
10331,1814,243
10332,1815,428
10333,1815,222
10334,1815,258
10335,1815,251
10336,1815,432
10337,1815,122
10338,1816,782
10339,1816,75
10340,1816,331
10341,1816,435
10342,1816,637
10343,1816,67
10344,1817,1201
10345,1817,416
10346,1817,127
10347,1817,487
10348,1817,53
10349,1817,2102
10350,1818,970
10351,1818,2103
10352,1818,2104
10353,1818,2045
10354,1818,2105
10355,1819,307
10356,1819,309
10357,1819,367
10358,1819,1388
10359,1819,808
10360,1819,375
10361,1820,292
10362,1820,429
10363,1820,628
10364,1820,519
10365,1820,1004
10366,1821,316
10367,1821,370
10368,1821,1004
10369,1821,2106
10370,1821,33
10371,1822,356
10372,1822,348
10373,1822,72
10374,1822,57
10375,1822,1033
10376,1822,138
10377,1823,85
10378,1823,103
10379,1823,80
10380,1823,111
10381,1823,802
10382,1823,195
10383,1824,38
10384,1824,65
10385,1824,799
10386,1824,558
10387,1824,1254
10388,1824,2107
10389,1825,881
10390,1825,1338
10391,1825,2108
10392,1826,145
10393,1826,62
10394,1826,119
10395,1826,56
10396,1826,160
10397,1826,369
10398,1827,2109
10399,1827,2110
10400,1827,573
10401,1827,2111
10402,1828,137
10403,1828,1920
10404,1828,315
10405,1828,121
10406,1828,2112
10407,1829,428
10408,1829,432
10409,1829,224
10410,1829,96
10411,1829,893
10412,1829,1832
10413,1830,222
10414,1830,284
10415,1830,76
10416,1830,726
10417,1830,422
10418,1830,706
10419,1831,520
10420,1831,289
10421,1831,72
10422,1831,1049
10423,1831,331
10424,1832,97
10425,1832,58
