id,name_eg,name_ar,actors_name_eg,actors_name_ar,genres_name_eg,genres_name_ar,poster_url,final_rating
44,el avocato,الأفوكاتو,"Adel Imam, Yousra, Esaad Younes, Hussien El Sherbiny, Mohamed El Sharqawy, Salah Nazmi","عادل إمام, يسرا, إسعاد يونس, حسين الشربيني, محمد الشرقاوي, صلاح نظمي","drama, comedy, excitement, old movie","دراما, كوميديا, اثارة, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbXZtYm1ibUxSY3htVGptYm12bXZtbW1q.jpg,3.6582481065
45,al mummia,المومياء,"Ahmed Marei, Nadia Lotfi, Abdelazim Abdelhaqq, Zouzou Hamdi El Hakim, Mohamed Nabih, Mohamed Morshed","أحمد مرعي, نادية لطفي, عبدالعظيم عبدالحق, زوزو حمدي الحكيم, محمد نبيه, محمد مرشد","drama, old movie","دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUVtcGp2dGNFY21URW12bWptYm1ZcGo.jpg,3.654218288
46,sameer shaheer and baheer,سمير وشهير وبهير,"Ahmad Fahmy, Hesham Maged, Chico, Engy Wegdan, Amy Samir Ghanem, Rahma Hassan","أحمد فهمي, هشام ماجد, شيكو, إنجي وجدان, إيمي سمير غانم, رحمة حسن","comedy, Fiction","كوميديا, خيال",https://i.egycdn.com/pic/WmFwZndlY21tbUVtb05tbWJFY21FeHhtRW1ibW1LUA.jpg,3.651674026
47,fe mahatet masr,في محطة مصر,"Menna Shalaby, Lotfy Labib, Enaam Salosa, Edward, Mohamed Abu AlHasan, Karim Abdulaziz","منة شلبي, لطفي لبيب, إنعام سالوسة, إدوارد, محمد أبو الحسن, كريم عبدالعزيز","romantic, drama, comedy","رومانسية, دراما, كوميديا",https://i.egycdn.com/pic/WmFwZndlY21qbVlibXZtbW1iRWNtam1ibUlQbXNqbWZ3.jpg,3.6485348215
48,zay el naharda,زي النهاردة,"Basma, Ahmed El Fishawy, Asser Yassine, Maha Abou Ouf, Nabil Issa, Arwa Gouda","بسمة, أحمد الفيشاوي, آسر ياسين, مها أبو عوف, نبيل عيسى, أروى جودة","Fiction, drama","خيال, دراما",https://i.egycdn.com/pic/WmFwZndlY21tbUVtbXZjbWptdWNtYm1iYW12bXZ2Y3dUdg.jpg,3.6457517005
49,al resalah,الرسالة,"Abdallah Gheith, Mona Wasef, Ahmed Marei, Muhammad Al Arabi, Ali Ahmad Salem, Mahmoud Saaied","عبدالله غيث, منى واصف, أحمد مرعي, محمد العربي, علي أحمد سالم, محمود سعيد","Adventure, CV, History, drama, war, old movie","مغامرة, سيرة ذاتية, تاريخ, دراما, حرب, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbXZtTE5ZbUVjd1RUdm16eFBtdmE.jpg,3.6396856815
50,shey min al khouf,شيء من الخوف,"Shadya, Mahmoud Morsi, Yahia Shahein, Muhammad Tawfiq, Ahmad Tawfiq, Amal Zayed","شادية, محمود مرسي, يحيى شاهين, محمد توفيق, أحمد توفيق, آمال زايد","drama, old movie","دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUVtYnZ0Y3ZjRWNQbG1zam1FbXZsbWI.jpg,3.638303041
51,the benefit,المصلحة,"Ahmed El Sakka, Ahmed Ezz, Hanan Turk, Zeina, Salah Abdullah, Kinda Alloush","أحمد السقا, أحمد عز, حنان ترك, زينة, صلاح عبدالله, كندة علوش","excitement, drama, crime","اثارة, جريمة, دراما",https://i.egycdn.com/pic/WmFwZndlY21tbUVtdm1qbXB1Y3ZjY05tdk5tbVlzag.jpg,3.6372356785
52,el leab maa elkobar,اللعب مع الكبار,"Adel Imam, Hussein Fahmy, Mahmoud El Gendy, Aaidah Riyadh, Gamal Ismail, Mustafa Metwalli","عادل إمام, حسين فهمي, محمود الجندي, عايدة رياض, جمال إسماعيل, مصطفى متولي","drama, ambiguity, comedy, old movie","دراما, غموض, كوميديا, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUVtRW1qbXZ2UmNtVFlwTGNtRW1qbXY.jpg,3.637055838
53,al hafla,الحفلة,"Ahmed Ezz, Mohamed Ragab, Jumana Murad, Ruby, Alaa Hosny, Maha Abou Ouf","أحمد عز, محمد رجب, جومانا مراد, روبي, علاء حسني, مها أبو عوف","Action, comedy, romantic","اكشن, كوميديا, رومانسية",https://i.egycdn.com/pic/WmFwZndlY21tbUVtdm1FdmNtdkVjbWpjTllwam1ZSHc.jpg,3.6309083105
54,la taragoa wala esteslam el kabda el dameyya,لا تراجع و لا استسلام (القبضة الدامية),"Ahmed Mekky, Donia Samir Ghanem, Maged El Kedwany, Dalal Abdelaziz, Ezzat Abu Ouf, Mohamed Shahin","أحمد مكي, دنيا سمير غانم, ماجد الكدواني, دلال عبدالعزيز, عزت أبو عوف, محمد شاهين","comedy, Action","كوميديا, اكشن",https://i.egycdn.com/pic/WmFwZndlY21tbUVtYm1Zdm12RWNtRXZOandUYnZjeGE.jpg,3.6280344945
55,al bary,البريء,"Ahmed Zaki, Mahmoud Abdelaziz, Mamdouh Abdelalim, Elham Shahein, Gamil Rateb, Ahmad Rateb","أحمد زكي, محمود عبدالعزيز, ممدوح عبدالعليم, إلهام شاهين, جميل راتب, أحمد راتب","drama, old movie","دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbW12Y21FbW12UmNtdm12bUVsdndQbWJQ.jpg,3.6173226305
56,love story,قصة حب,"Ahmed Hatem, Hana Al Zahed, Ola Roshdy, Hanan Suliman, Yasser El Tobgy, Ahmed Saad Mesho","أحمد حاتم, هنا الزاهد, علا رشدي, حنان سليمان, ياسر الطوبجي, () أحمد سعد (ميشو)","romantic, drama, comedy","رومانسية, دراما, كوميديا",https://i.egycdn.com/pic/WmFwZndlY21MdGNtbW1UVG1FY3htRXZjbWpja05teA.jpg,3.6143944895
57,casablanca,كازابلانكا,"Amir Karara, Ghada Adel, Halit Ergen, Eyad Nassar, Amr Abdul Gelil, Mahmoud AlBezzawy","أمير كرارة, غادة عادل, ç خالد إرجنتش (هاليت إرجنتش), إياد نصار, عمرو عبدالجليل, محمود البزاوي",Action,اكشن,https://i.egycdn.com/pic/WmFwZndlY21MTm1tRW1ZYm12RWNjTnZtWW14eG1qbW0.jpg,3.605711869
58,el gezira 2,الجزيرة 2,"Ahmed El Sakka, Hend Sabry, Khaled Saleh, Khaled El Sawy, Nedal AlShafeay, Ahmed Malek","أحمد السقا, هند صبري, خالد صالح, خالد الصاوي, نضال الشافعي, أحمد مالك","drama, excitement, Action, crime","جريمة, دراما, اثارة, اكشن",https://i.egycdn.com/pic/WmFwZndlY21tbUVtWUV2Y3ZjRWNhY05ibUVhd1RwYg.jpg,3.5979626575
